KO,growth
ABF2,0.0143554
ACA1,0.0332769
ACE2,-0.0193063
ACM1,0.0965373
ACO1,1.41052
ACS1,-0.0147779
ADA2,0.6429368
ADD66,0.0099497
AFT1,-0.0656893
AFT2,0.0437269
AHC1,0.0276984
AIF1,-0.0238742
AIM1,0.0767754
AIR1,0.1086667
AKL1,0.0498
ALK1,0.0687
ALY1,-0.0096502
AMA1,-0.0998639
APC9,-0.0049492
APN1,0.0156218
APN2,0.0739596
APQ12,0.2020018
ARG80,0.0040929
ARG81,-0.0284216
ARG82,0.4340765
ARK1,0.0145
ARO3,-0.0303234
ARO80,0.0186409
ARP5,0.05
ARP6,0.0201541
ARP8,0.5783018
ARR1,0.022403
ARX1,0.2929263
ASE1,0.047
ASF2,-0.0856665
ASG1,-0.0591268
ASH1,0.0828514
ASI1,-0.004817
ASI2,0.029344
ASI3,-0.0299532
ASK10,0.1454881
ASM4,0.0320122
ASR1,-0.0151598
ATG1,-0.0166
ATG10,-0.0198996
BCK2,0.0741619
BCS1,0.2446301
BDF2,0.1021761
BIK1,0.1328256
BIT61,0.1164017
BLM10,0.2173917
BMH2,-0.0186157
BRE1,0.135718
BRE2,0.1602098
BRE5,0.0045727
BSP1,0.0212392
BTT1,0.0438615
BUB2,0.0147093
BUD13,0.3722013
BUD20,0.3277111
BUD22,0.6741483
BUL1,0.0272215
BUL2,-0.02301
BYE1,0.0052661
CAC2,-0.1734511
CAF130,0.1522773
CAF4,0.12
CAF40,0.0991535
CAR2,0.2150787
CAT8,0.0022959
CBF1,0.6167476
CDC26,0.1175696
CDH1,0.1643164
CEX1,0.010935
CGI121,0.532
CGR1,0.1352484
CHA4,0.0182464
CHD1,0.004
CHK1,0.0942
CHL1,0.1275927
CHL4,0.0153306
CHZ1,-0.0462851
CIN2,0.0109187
CIN5,0.016936
CIN8,0.0661417
CKA1,0.0508
CKA2,0.0143
CKB1,0.168
CKB2,0.24
CKI1,-0.0278
CLA4,0.1166
CLB1,0.0453217
CLB2,-0.1155715
CLB3,-0.0030535
CLB4,-0.0324256
CLB5,0.0346108
CLB6,0.1011039
CLG1,0.006625
CLN1,-0.0134991
CLN2,0.0462345
CLN3,-0.0482305
